Year,Month,Landfill,Trips,Tonnage,Month_Number,Quarter,Festive_Period,Population_Density,Landfill_Encoded
2023,JUL,Epe,1138,11120,,,0,7000,2
2023,JUL,Ikorodu,14112,134013,,,0,11000,3
2023,AUG,Olusosun,9569,91862,,,0,15000,4
2023,AUG,Abule-Egba,2637,24053,,,0,12000,0
2023,AUG,Solous,170,1530,,,0,13000,5
2023,AUG,Badagry,1183,11002,,,0,8000,1
2023,AUG,Epe,1176,11526,,,0,7000,2
2023,AUG,Ikorodu,14735,139973,,,0,11000,3
2023,SEP,Olusosun,8101,77319,,,0,15000,4
2023,SEP,Abule-Egba,2231,20439,,,0,12000,0
2023,SEP,Solous,153,1392,,,0,13000,5
2023,SEP,Badagry,1068,9917,,,0,8000,1
2023,SEP,Epe,1072,10673,,,0,7000,2
2023,SEP,Ikorodu,12625,119740,,,0,11000,3
2023,OCT,Olusosun,8581,83516,,,0,15000,4
2023,OCT,Abule-Egba,2511,23214,,,0,12000,0
2023,OCT,Solous,169,1521,,,0,13000,5
2023,OCT,Badagry,1167,10983,,,0,8000,1
2023,OCT,Epe,1149,11016,,,0,7000,2
2023,OCT,Ikorodu,13577,130250,,,0,11000,3
2024,JAN,Olusosun,8552,81309,,,0,15000,4
2024,JAN,Abule-Egba,2879,26411,,,0,12000,0
2024,JAN,Solous,136,1224,,,0,13000,5
2024,JAN,Badagry,1174,10976,,,0,8000,1
2024,JAN,Epe,1105,10743,,,0,7000,2
2024,JAN,Ikorodu,52865,130663,,,0,11000,3
2024,FEB,Olusosun,7964,75682,,,0,15000,4
2024,FEB,Abule-Egba,2461,22877,,,0,12000,0
2024,FEB,Solous,122,1098,,,0,13000,5
2024,FEB,Badagry,1067,9938,,,0,8000,1
2024,FEB,Epe,967,9406,,,0,7000,2
2024,FEB,Ikorodu,49366,119001,,,0,11000,3
2024,MAR,Olusosun,7893,75330,,,0,15000,4
2024,MAR,Abule-Egba,2587,23498,,,0,12000,0
2024,MAR,Solous,156,1404,,,0,13000,5
2024,MAR,Badagry,1024,9591,,,0,8000,1
2024,MAR,Epe,984,9714,,,0,7000,2
2024,MAR,Ikorodu,49432,119537,,,0,11000,3
2024,APR,Olusosun,7823,74691,,,0,15000,4
2024,APR,Abule-Egba,2405,21860,,,0,12000,0
2024,APR,Solous,130,1170,,,0,13000,5
2024,APR,Badagry,960,8678,,,0,8000,1
2024,APR,Epe,885,9245,,,0,7000,2
2024,APR,Ikorodu,47056,115644,,,0,11000,3
2024,MAY,Olusosun,7721,73094,5.0,2.0,0,15000,4
2024,MAY,Abule-Egba,2306,20974,5.0,2.0,0,12000,0
2024,MAY,Solous,134,1206,5.0,2.0,0,13000,5
2024,MAY,Badagry,985,9300,5.0,2.0,0,8000,1
2024,MAY,Epe,937,9169,5.0,2.0,0,7000,2
2024,MAY,Ikorodu,43712,113743,5.0,2.0,0,11000,3
2024,JUN,Olusosun,7085,67552,,,0,15000,4
2024,JUN,Abule-Egba,1876,16989,,,0,12000,0
2024,JUN,Solous,161,1449,,,0,13000,5
2024,JUN,Badagry,987,9283,,,0,8000,1
2024,JUN,Epe,908,9348,,,0,7000,2
2024,JUN,Ikorodu,42453,104621,,,0,11000,3
2024,JUL,Olusosun,7357,70191,,,0,15000,4
2024,JUL,Abule-Egba,1925,17760,,,0,12000,0
2024,JUL,Solous,184,1676,,,0,13000,5
2024,JUL,Badagry,1198,11332,,,0,8000,1
2024,JUL,Epe,1175,11889,,,0,7000,2
2024,JUL,Ikorodu,44416,112848,,,0,11000,3
2024,AUG,Olusosun,7807,74475,,,0,15000,4
2024,AUG,Abule-Egba,2315,21744,,,0,12000,0
2024,AUG,Solous,180,1620,,,0,13000,5
2024,AUG,Badagry,1126,10903,,,0,8000,1
2024,AUG,Epe,1105,11222,,,0,7000,2
2024,AUG,Ikorodu,47907,119964,,,0,11000,3
2024,SEP,Olusosun,7551,72330,,,0,15000,4
2024,SEP,Abule-Egba,2197,20093,,,0,12000,0
2024,SEP,Solous,157,1418,,,0,13000,5
2024,SEP,Badagry,1182,11818,,,0,8000,1
2024,SEP,Epe,1117,11247,,,0,7000,2
2024,SEP,Ikorodu,48185,116906,,,0,11000,3
2024,OCT,Olusosun,6119,58671,,,0,15000,4
2024,OCT,Abule-Egba,2004,18306,,,0,12000,0
2024,OCT,Solous,164,1476,,,0,13000,5
2024,OCT,Badagry,1359,13591,,,0,8000,1
2024,OCT,Epe,1371,13447,,,0,7000,2
2024,OCT,Ikorodu,42419,105491,,,0,11000,3
